timestamp,target_ml,estimated_ml,pressure_pa,flow_rate,height_mm,time_s
2025-10-10T13:04:56.654106,10.0,11.445564365386963,50000.0,2.1,54.732828796907995,5.450268745422363
2025-10-10T13:04:56.654144,10.0,11.20301241874695,50000.0,2.1,63.59009552073138,5.334767818450928
2025-10-10T13:04:56.654157,10.0,11.215799260139466,50000.0,2.1,63.79215640570885,5.3408567905426025
2025-10-10T13:04:56.654188,10.0,11.35569748878479,50000.0,2.1,59.57848279677094,5.407474994659424
2025-10-10T13:04:56.654200,10.0,11.330144834518434,50000.0,2.1,59.53927934536364,5.3953070640563965
2025-10-10T13:04:56.654211,10.0,11.284268116950988,50000.0,2.1,59.286260304044035,5.373461008071899
2025-10-10T13:04:56.654221,10.0,11.329514980316162,50000.0,2.1,58.68468097562652,5.395007133483887
2025-10-10T13:04:56.654231,10.0,11.308873987197876,50000.0,2.1,58.584126704950975,5.385178089141846
2025-10-10T13:04:56.654243,10.0,11.321966743469238,50000.0,2.1,60.08596391539268,5.391412734985352
2025-10-10T13:04:56.654254,10.0,11.350654649734498,50000.0,2.1,58.05416708554614,5.405073642730713
2025-10-10T13:04:56.654265,10.0,11.50868446826935,50000.0,2.1,57.22443956649688,5.480325937271118
2025-10-10T13:04:56.654275,10.0,11.37492756843567,50000.0,2.1,55.81814402673187,5.416632175445557
2025-10-10T13:04:56.654285,10.0,11.36946415901184,50000.0,2.1,55.534656933550025,5.4140305519104
2025-10-10T13:04:56.654295,10.0,11.411448097229004,50000.0,2.1,55.66380856778986,5.434022903442383
2025-10-10T13:04:56.654306,10.0,11.509302306175233,50000.0,2.1,52.00919802407516,5.4806201457977295
2025-10-10T13:04:56.654316,10.0,11.736792826652527,50000.0,2.1,51.54313074544926,5.588948965072632
2025-10-10T13:04:56.654326,10.0,11.521554923057556,50000.0,2.1,51.70899173367803,5.486454725265503
2025-10-10T13:04:56.654338,10.0,11.547893142700195,50000.0,2.1,52.606666658898874,5.498996734619141
2025-10-10T13:04:56.654349,10.0,11.556069231033325,50000.0,2.1,52.25047317737254,5.502890110015869
2025-10-10T13:04:56.654359,10.0,11.492934608459473,50000.0,2.1,52.13330138602723,5.47282600402832
2025-10-10T13:04:56.654370,10.0,11.54560854434967,50000.0,2.1,50.432384768460764,5.4979088306427
2025-10-10T13:04:56.654381,10.0,11.545380234718323,50000.0,2.1,49.466288383176675,5.49780011177063
2025-10-10T13:04:56.654390,10.0,11.568736910820007,50000.0,2.1,49.04048046204477,5.508922338485718
2025-10-10T13:04:56.654401,10.0,11.520721292495727,50000.0,2.1,48.64624708236124,5.486057758331299
2025-10-10T13:04:56.654411,10.0,11.608338618278504,50000.0,2.1,46.60095468576387,5.527780294418335
2025-10-10T13:04:56.654421,10.0,11.750782799720765,50000.0,2.1,41.89345033336113,5.595610857009888
2025-10-10T13:04:56.654431,10.0,11.75103464126587,50000.0,2.1,41.942401551249986,5.595730781555176
2025-10-10T13:04:56.654441,10.0,11.720398592948914,50000.0,2.1,43.806356591570406,5.58114218711853
2025-10-10T13:04:56.654450,10.0,11.757220029830933,50000.0,2.1,40.59201794016268,5.5986762046813965
2025-10-10T13:04:56.654460,10.0,11.774624633789063,50000.0,2.1,41.51695375980245,5.606964111328125
2025-10-10T13:04:56.654469,10.0,11.741783595085144,50000.0,2.1,40.1434269772339,5.591325521469116
2025-10-10T13:04:56.654479,10.0,11.842679929733277,50000.0,2.1,37.820829312745445,5.639371395111084
2025-10-10T13:04:56.654489,10.0,11.80393238067627,50000.0,2.1,38.81791067451154,5.620920181274414
2025-10-10T13:04:56.654498,10.0,11.813636541366577,50000.0,2.1,37.46955633113909,5.6255412101745605
2025-10-10T13:04:56.654507,10.0,11.895366382598878,50000.0,2.1,37.5915948598023,5.664460182189941
2025-10-10T13:04:56.654515,10.0,11.989828491210938,50000.0,2.1,37.2358756945887,5.709442138671875
2025-10-10T13:04:56.654524,10.0,11.93028974533081,50000.0,2.1,34.89175395643453,5.681090354919434
2025-10-10T13:04:56.654533,10.0,11.916183614730835,50000.0,2.1,32.8514368138037,5.674373149871826
2025-10-10T13:04:56.654541,10.0,11.946083164215088,50000.0,2.1,33.388214155315794,5.688611030578613
2025-10-10T13:04:56.654549,10.0,11.932214856147766,50000.0,2.1,35.10542759573558,5.682007074356079
2025-10-10T13:04:56.654558,10.0,11.9787034034729,50000.0,2.1,31.547754858424284,5.704144477844238
2025-10-10T13:04:56.654566,10.0,12.445176529884339,50000.0,2.1,32.28776139492791,5.926274538040161
2025-10-10T13:04:56.654574,10.0,12.030695915222168,50000.0,2.1,28.42140750073378,5.728902816772461
2025-10-10T13:04:56.654582,10.0,12.06188371181488,50000.0,2.1,31.91127965727675,5.743754148483276
2025-10-10T13:04:56.654591,10.0,12.092253398895265,50000.0,2.1,26.565909857515976,5.75821590423584
2025-10-10T13:04:56.654599,10.0,12.095195388793945,50000.0,2.1,27.098659168276413,5.759616851806641
