timestamp,target_ml,tolerance_ml,estimated_ml,pressure_pa,flow_rate,height_mm,time_s,pass
2025-10-10T17:45:18.454613,0.6,0.1,1.2823026983925467,50000.0,2.1,65.20543677133529,5.434520959854126,False
2025-10-10T17:45:18.454647,0.6,0.1,1.2898749903346716,50000.0,2.1,63.46421821515064,5.466613054275513,False
2025-10-10T17:45:18.454661,0.6,0.1,1.3014477638716109,50000.0,2.1,58.64011365482659,5.51565957069397,False
2025-10-10T17:45:18.454689,0.6,0.1,1.3032219677828671,50000.0,2.1,60.384923229278556,5.523178815841675,False
2025-10-10T17:45:18.454704,0.6,0.1,1.3029721345794334,50000.0,2.1,60.009184117966925,5.522119998931885,False
2025-10-10T17:45:18.454715,0.6,0.1,1.3005910401933647,50000.0,2.1,59.81223416548029,5.512028694152832,False
2025-10-10T17:45:18.454738,0.6,0.1,1.3009873079449943,50000.0,2.1,59.35519594194726,5.513708114624023,False
2025-10-10T17:45:18.454749,0.6,0.1,1.308260598879182,50000.0,2.1,58.8067718097727,5.544533014297485,False
2025-10-10T17:45:18.454762,0.6,0.1,1.3009633991155731,50000.0,2.1,55.64438861232507,5.513606786727905,False
2025-10-10T17:45:18.454773,0.6,0.1,1.3148673116491083,50000.0,2.1,58.65711883809145,5.572532892227173,False
2025-10-10T17:45:18.454784,0.6,0.1,1.298914946866839,50000.0,2.1,57.9531039370153,5.50492525100708,False
2025-10-10T17:45:18.454795,0.6,0.1,1.3047670969802343,50000.0,2.1,56.81493921808196,5.529727220535278,False
2025-10-10T17:45:18.454807,0.6,0.1,1.3111739881922688,50000.0,2.1,52.90966655065938,5.556880235671997,False
2025-10-10T17:45:18.454819,0.6,0.1,1.317841119980544,50000.0,2.1,54.894652028188716,5.58513617515564,False
2025-10-10T17:45:18.454831,0.6,0.1,1.3114355226581016,50000.0,2.1,55.79631949295617,5.55798864364624,False
2025-10-10T17:45:18.454843,0.6,0.1,1.3176863595341028,50000.0,2.1,53.50435689811039,5.584480285644531,False
2025-10-10T17:45:18.454854,0.6,0.1,1.3275538991006572,50000.0,2.1,50.798060994519204,5.626299858093262,False
2025-10-10T17:45:18.454866,0.6,0.1,1.3258514216776642,50000.0,2.1,50.26861865818523,5.619084596633911,False
2025-10-10T17:45:18.454876,0.6,0.1,1.3234911420372095,50000.0,2.1,50.17128284339685,5.609081506729126,False
2025-10-10T17:45:18.454888,0.6,0.1,1.3237286551614824,50000.0,2.1,47.41677232841543,5.610088109970093,False
2025-10-10T17:45:18.454899,0.6,0.1,1.3289095578568704,50000.0,2.1,47.44363254484098,5.632045269012451,False
2025-10-10T17:45:18.454911,0.6,0.1,1.3299361748641796,50000.0,2.1,47.53863938896025,5.636396169662476,False
